BBSID, Signal, Time, Timestamp
58:93:96:c0:67:cd,-84,13131248,1476990423
bc:5c:4c:00:0c:96,-80,13131248,1476990054
84:af:ec:11:c3:1c,-89,13131248,1476992155
58:93:96:00:67:cc,-87,13131248,1476992068
9c:2a:70:96:c1:9b,-85,13131248,1476991142
d8:f7:10:e4:2d:52,-70,13131248,1467408800
7c:11:cb:c7:9b:f1,-73,13131248,1470573898
00:20:a6:fd:47:28,-81,13131248,1470574757
34:76:c5:18:88:35,-80,13131248,1476990181
28:34:a2:28:5e:e0,-79,13131248,1470574378
00:03:52:e3:7a:a3,-69,13131248,1476989049
00:03:52:e3:7a:a2,-69,13131248,1476989066
00:03:52:e3:7a:a0,-67,13131248,1470573620
00:03:52:e3:7a:a4,-69,13131248,1476989032
30:f7:72:f6:3c:38,-76,13131248,1470574287
9c:2a:70:96:c1:99,-85,13131248,1476991191
34:76:c5:84:48:37,-82,13131248,1476990379
00:1a:1e:92:b3:83,-80,13131248,1470574264
9c:2a:70:96:c1:9a,-85,13131248,1476991169
36:76:c5:18:88:35,-79,13131248,1476990153
9c:2a:70:96:c1:9c,-86,13131248,1476992175
9c:2a:70:96:c1:98,-85,13131248,1476991213
34:fc:b9:3c:f0:30,-84,13131248,1476990297
34:fc:b9:3c:f0:51,-87,13131248,1476991344
00:1a:1e:92:b3:81,-78,13131248,1476990011
34:fc:b9:3c:f0:50,-88,13131248,1476991366
6c:19:8f:e6:37:bf,-91,13131248,1476992330
00:1a:1e:92:b3:80,-76,13131248,1476989968
34:fc:b9:3c:f0:31,-84,13131248,1476990242
24:de:c6:41:6f:78,-85,13131248,1476990496
24:de:c6:41:6f:7a,-85,13131248,1476990468
24:de:c6:41:6f:79,-86,13131248,1476991385
00:90:fe:9b:19:d2,-88,13131248,1476992198
00:03:52:a9:5d:a0,-85,13131248,1476991276
00:03:52:a9:5d:a3,-86,13131248,1476992277
00:03:52:a9:5d:a2,-86,13131248,1476992305
00:03:52:a9:5d:a4,-86,13131248,1476992220
delimiter,delimiter,delimiter,delimiter
a4:12:42:75:b4:03,-56,13131249,1476988564
48:a1:95:e9:0b:cb,-63,13131249,1476988818
cc:e1:d5:8f:6e:76,-76,13131249,1476989590
00:1a:1e:83:c1:61,-71,13131249,1476989233
00:1a:1e:83:c1:62,-73,13131249,1476989492
00:1a:1e:83:c1:60,-72,13131249,1476989358
cc:e1:d5:8f:6e:71,-71,13131249,1476989255
00:03:52:e3:7a:ac,-60,13131249,1476988648
00:03:52:e3:7a:ad,-62,13131249,1476988860
00:1a:1e:83:c1:63,-72,13131249,1476989337
cc:e1:d5:f9:66:00,-79,13131249,1470574330
00:20:a6:cf:6f:b9,-89,13131249,1470575133
88:57:ee:f2:6a:48,-53,13131249,1476988514
10:6f:3f:37:5e:bb,-68,13131249,1470573639
00:03:52:e3:7a:ab,-60,13131249,1476988667
bc:5c:4c:6c:56:2f,-88,13131249,1476992135
00:03:52:e3:7a:ae,-62,13131249,1476988843
b6:12:42:75:b4:02,-55,13131249,1476988541
98:f1:99:87:05:af,-78,13131249,1476989812
40:01:7a:97:2e:cf,-80,13131249,1476989571
ee:1d:7f:c1:80:92,-77,13131249,1476989991
88:44:77:83:3a:2c,-54,13131249,1476988444
48:a1:95:e9:0b:ca,-59,13131249,1476988607
00:03:52:e3:7a:aa,-60,13131249,1476988683
30:f7:72:f6:3c:30,-80,13131249,1476989939
30:f7:72:f6:3c:31,-81,13131249,1476990359
88:57:ee:f2:6a:4c,-67,13131249,1476988915
30:f7:72:f6:3c:32,-81,13131249,1476990339
a4:12:42:75:b4:02,-57,13131249,1476988588
10:4b:46:73:b4:5b,-68,13131249,1476988893
bc:5c:4c:00:0c:97,-74,13131249,1476989107
00:1a:1e:8e:ef:e2,-72,13131249,1476989189
00:1a:1e:8e:ef:e1,-71,13131249,1476989151
00:1a:1e:8e:ef:e3,-71,13131249,1476989130
50:0f:80:d9:36:2f,-83,13131249,1476990221
00:03:52:e3:7a:a5,-67,13131249,1476988993
00:03:52:a9:5d:a5,-84,13131249,1476991235
30:f7:72:f6:3c:33,-81,13131249,1476990317
00:03:52:e3:7a:a1,-67,13131249,1476989012
00:03:52:e3:7a:a9,-63,13131249,1476988876
00:03:52:a9:5d:a9,-72,13131249,1470574066
00:03:52:e3:7a:a8,-59,13131249,1476988630
00:1a:1e:8e:ef:e0,-71,13131249,1476989171
28:34:a2:28:5f:ff,-73,13131249,1470573999
00:1a:1e:92:b2:e0,-70,13131249,1476988972
30:f7:72:f6:3c:3a,-77,13131249,1476990089
00:1a:1e:92:b2:e1,-70,13131249,1476988934
84:af:ec:30:3c:de,-83,13131249,1476990401
84:af:ec:30:3c:dc,-80,13131249,1476989836
a6:12:42:85:b2:00,-71,13131249,1476989296
dc:a4:ca:ef:20:6b,-82,13131249,1476990200
10:6f:3f:3b:bd:22,-78,13131249,1476990134
02:18:1a:84:ab:ee,-84,13131249,1476990447
98:f1:99:ad:1a:0e,-79,13131249,1476990031
38:90:a5:59:af:4f,-86,13131249,1476991317
16:6f:3f:3b:bd:22,-78,13131249,1476990112
00:03:52:a9:5d:a1,-85,13131249,1476991254
88:57:ee:b3:6b:bd,-74,13131249,1476989208
00:24:a5:c1:60:71,-71,13131249,1470573847
dc:a4:ca:ef:20:6a,-75,13131249,1476989548
a4:12:42:85:b2:00,-71,13131249,1476989316
b0:55:08:4d:91:70,-71,13131249,1476989275
34:3d:c4:c1:f7:18,-70,13131249,1476989083
58:93:96:80:67:cd,-87,13131249,1476992088
58:93:96:40:67:cd,-87,13131249,1476992028
58:93:96:40:67:cc,-87,13131249,1476992048
58:93:96:00:67:cd,-86,13131249,1476991928
58:93:96:c0:67:cc,-86,13131249,1476992006
00:0d:02:e2:08:9b,-79,13131249,1470574354
34:3d:c4:c1:f7:1c,-87,13131249,1476992113
06:0d:02:e2:08:9b,-74,13131249,1470574024
58:93:96:80:67:cc,-85,13131249,1476990924
00:1a:1e:92:b2:e2,-70,13131249,1476988953
58:93:96:c0:67:cd,-84,13131249,1476990423
bc:5c:4c:00:0c:96,-80,13131249,1476990054
84:af:ec:11:c3:1c,-89,13131249,1476992155
58:93:96:00:67:cc,-87,13131249,1476992068
9c:2a:70:96:c1:9b,-85,13131249,1476991142
d8:f7:10:e4:2d:52,-70,13131249,1467408800
7c:11:cb:c7:9b:f1,-73,13131249,1470573898
00:20:a6:fd:47:28,-81,13131249,1470574757
34:76:c5:18:88:35,-80,13131249,1476990181
28:34:a2:28:5e:e0,-79,13131249,1470574378
00:03:52:e3:7a:a3,-69,13131249,1476989049
00:03:52:e3:7a:a2,-69,13131249,1476989066
00:03:52:e3:7a:a0,-67,13131249,1470573620
00:03:52:e3:7a:a4,-69,13131249,1476989032
30:f7:72:f6:3c:38,-76,13131249,1470574287
9c:2a:70:96:c1:99,-85,13131249,1476991191
34:76:c5:84:48:37,-82,13131249,1476990379
00:1a:1e:92:b3:83,-80,13131249,1470574264
9c:2a:70:96:c1:9a,-85,13131249,1476991169
36:76:c5:18:88:35,-79,13131249,1476990153
9c:2a:70:96:c1:9c,-86,13131249,1476992175
9c:2a:70:96:c1:98,-85,13131249,1476991213
34:fc:b9:3c:f0:30,-84,13131249,1476990297
34:fc:b9:3c:f0:51,-87,13131249,1476991344
00:1a:1e:92:b3:81,-78,13131249,1476990011
34:fc:b9:3c:f0:50,-88,13131249,1476991366
6c:19:8f:e6:37:bf,-91,13131249,1476992330
00:1a:1e:92:b3:80,-76,13131249,1476989968
34:fc:b9:3c:f0:31,-84,13131249,1476990242
24:de:c6:41:6f:78,-85,13131249,1476990496
24:de:c6:41:6f:7a,-85,13131249,1476990468
24:de:c6:41:6f:79,-86,13131249,1476991385
00:90:fe:9b:19:d2,-88,13131249,1476992198
00:03:52:a9:5d:a0,-85,13131249,1476991276
00:03:52:a9:5d:a3,-86,13131249,1476992277
00:03:52:a9:5d:a2,-86,13131249,1476992305
00:03:52:a9:5d:a4,-86,13131249,1476992220
delimiter,delimiter,delimiter,delimiter
a4:12:42:75:b4:03,-62,13131250,1480091815
48:a1:95:e9:0b:cb,-72,13131250,1480092046
cc:e1:d5:8f:6e:76,-81,13131250,1480092859
00:1a:1e:83:c1:61,-74,13131250,1480092151
00:1a:1e:83:c1:62,-71,13131250,1480092073
00:1a:1e:83:c1:60,-72,13131250,1476989358
cc:e1:d5:8f:6e:71,-71,13131250,1476989255
00:03:52:e3:7a:ac,-75,13131250,1480092229
00:03:52:e3:7a:ad,-62,13131250,1476988860
00:1a:1e:83:c1:63,-74,13131250,1480092126
cc:e1:d5:f9:66:00,-79,13131250,1470574330
00:20:a6:cf:6f:b9,-89,13131250,1470575133
88:57:ee:f2:6a:48,-53,13131250,1480091686
10:6f:3f:37:5e:bb,-68,13131250,1470573639
00:03:52:e3:7a:ab,-60,13131250,1476988667
bc:5c:4c:6c:56:2f,-88,13131250,1476992135
00:03:52:e3:7a:ae,-75,13131250,1480092206
b6:12:42:75:b4:02,-61,13131250,1480091894
98:f1:99:87:05:af,-78,13131250,1476989812
40:01:7a:97:2e:cf,-82,13131250,1480092417
ee:1d:7f:c1:80:92,-77,13131250,1476989991
88:44:77:83:3a:2c,-56,13131250,1480091739
48:a1:95:e9:0b:ca,-65,13131250,1480091870
00:03:52:e3:7a:aa,-60,13131250,1476988683
30:f7:72:f6:3c:30,-83,13131250,1480092944
30:f7:72:f6:3c:31,-83,13131250,1480092916
88:57:ee:f2:6a:4c,-73,13131250,1480092023
30:f7:72:f6:3c:32,-84,13131250,1480092970
a4:12:42:75:b4:02,-61,13131250,1480091845
10:4b:46:73:b4:5b,-69,13131250,1480091921
bc:5c:4c:00:0c:97,-79,13131250,1480092253
00:1a:1e:8e:ef:e2,-77,13131250,1480092371
00:1a:1e:8e:ef:e1,-77,13131250,1480092394
00:1a:1e:8e:ef:e3,-77,13131250,1480092346
50:0f:80:d9:36:2f,-83,13131250,1480092539
00:03:52:e3:7a:a5,-69,13131250,1480091974
00:03:52:a9:5d:a5,-84,13131250,1476991235
30:f7:72:f6:3c:33,-85,13131250,1480093045
00:03:52:e3:7a:a1,-69,13131250,1480091998
00:03:52:e3:7a:a9,-58,13131250,1480091767
00:03:52:a9:5d:a9,-72,13131250,1470574066
00:03:52:e3:7a:a8,-58,13131250,1480091793
00:1a:1e:8e:ef:e0,-76,13131250,1480092319
28:34:a2:28:5f:ff,-73,13131250,1470573999
00:1a:1e:92:b2:e0,-71,13131250,1480092099
30:f7:72:f6:3c:3a,-77,13131250,1476990089
00:1a:1e:92:b2:e1,-70,13131250,1476988934
84:af:ec:30:3c:de,-83,13131250,1476990401
84:af:ec:30:3c:dc,-84,13131250,1480093019
a6:12:42:85:b2:00,-71,13131250,1476989296
dc:a4:ca:ef:20:6b,-82,13131250,1476990200
10:6f:3f:3b:bd:22,-78,13131250,1476990134
02:18:1a:84:ab:ee,-81,13131250,1480092885
98:f1:99:ad:1a:0e,-79,13131250,1476990031
38:90:a5:59:af:4f,-85,13131250,1480092566
16:6f:3f:3b:bd:22,-78,13131250,1476990112
00:03:52:a9:5d:a1,-85,13131250,1476991254
88:57:ee:b3:6b:bd,-70,13131250,1480091947
00:24:a5:c1:60:71,-83,13131250,1480093095
dc:a4:ca:ef:20:6a,-75,13131250,1476989548
a4:12:42:85:b2:00,-71,13131250,1476989316
b0:55:08:4d:91:70,-71,13131250,1476989275
34:3d:c4:c1:f7:18,-70,13131250,1476989083
58:93:96:80:67:cd,-86,13131250,1480093309
58:93:96:40:67:cd,-87,13131250,1480093336
58:93:96:40:67:cc,-88,13131250,1480093471
58:93:96:00:67:cd,-86,13131250,1480093279
58:93:96:c0:67:cc,-87,13131250,1480093413
00:0d:02:e2:08:9b,-79,13131250,1470574354
34:3d:c4:c1:f7:1c,-87,13131250,1476992113
06:0d:02:e2:08:9b,-74,13131250,1470574024
58:93:96:80:67:cc,-89,13131250,1480093557
00:1a:1e:92:b2:e2,-70,13131250,1476988953
58:93:96:c0:67:cd,-85,13131250,1480093071
bc:5c:4c:00:0c:96,-80,13131250,1476990054
84:af:ec:11:c3:1c,-93,13131250,1480093659
58:93:96:00:67:cc,-88,13131250,1480093501
9c:2a:70:96:c1:9b,-85,13131250,1476991142
7c:11:cb:c7:9b:f1,-73,13131250,1470573898
00:20:a6:fd:47:28,-81,13131250,1470574757
34:76:c5:18:88:35,-80,13131250,1476990181
28:34:a2:28:5e:e0,-79,13131250,1470574378
00:03:52:e3:7a:a3,-69,13131250,1476989049
00:03:52:e3:7a:a2,-69,13131250,1476989066
00:03:52:e3:7a:a0,-67,13131250,1470573620
00:03:52:e3:7a:a4,-69,13131250,1476989032
30:f7:72:f6:3c:38,-76,13131250,1470574287
9c:2a:70:96:c1:99,-85,13131250,1476991191
34:76:c5:84:48:37,-84,13131250,1480092994
00:1a:1e:92:b3:83,-80,13131250,1470574264
9c:2a:70:96:c1:9a,-85,13131250,1476991169
36:76:c5:18:88:35,-79,13131250,1476990153
9c:2a:70:96:c1:9c,-86,13131250,1476992175
9c:2a:70:96:c1:98,-85,13131250,1476991213
34:fc:b9:3c:f0:30,-85,13131250,1480092699
34:fc:b9:3c:f0:51,-87,13131250,1476991344
00:1a:1e:92:b3:81,-78,13131250,1476990011
34:fc:b9:3c:f0:50,-88,13131250,1476991366
6c:19:8f:e6:37:bf,-91,13131250,1476992330
00:1a:1e:92:b3:80,-76,13131250,1476989968
34:fc:b9:3c:f0:31,-86,13131250,1480093176
24:de:c6:41:6f:78,-85,13131250,1476990496
24:de:c6:41:6f:7a,-85,13131250,1476990468
24:de:c6:41:6f:79,-86,13131250,1476991385
00:90:fe:9b:19:d2,-88,13131250,1476992198
00:03:52:a9:5d:a0,-85,13131250,1476991276
00:03:52:a9:5d:a3,-86,13131250,1476992277
00:03:52:a9:5d:a2,-86,13131250,1476992305
00:03:52:a9:5d:a4,-86,13131250,1476992220
00:1a:1e:92:b2:e3,-75,13131250,1480092178
cc:e1:d5:6e:44:15,-85,13131250,1480092668
00:c8:8b:13:4d:7f,-83,13131250,1480092441
00:c8:8b:13:4d:7c,-83,13131250,1480092506
88:57:ee:86:20:7d,-89,13131250,1480093526
be:5c:4c:00:0c:96,-82,13131250,1480093123
00:60:b9:1b:c0:06,-81,13131250,1480093151
20:4c:9e:eb:24:7d,-90,13131250,1480093583
dc:fb:02:2b:2d:92,-91,13131250,1480093633
00:78:88:5c:8e:40,-87,13131250,1480093607
00:c8:8b:13:4d:7e,-85,13131250,1480092781
delimiter,delimiter,delimiter,delimiter
a4:12:42:75:b4:03,-62,13131251,1480091815
48:a1:95:e9:0b:cb,-72,13131251,1480092046
cc:e1:d5:8f:6e:76,-81,13131251,1480092859
00:1a:1e:83:c1:61,-74,13131251,1480092151
00:1a:1e:83:c1:62,-71,13131251,1480092073
00:1a:1e:83:c1:60,-72,13131251,1476989358
cc:e1:d5:8f:6e:71,-71,13131251,1476989255
00:03:52:e3:7a:ac,-75,13131251,1480092229
00:03:52:e3:7a:ad,-62,13131251,1476988860
00:1a:1e:83:c1:63,-74,13131251,1480092126
cc:e1:d5:f9:66:00,-79,13131251,1470574330
00:20:a6:cf:6f:b9,-89,13131251,1470575133
88:57:ee:f2:6a:48,-53,13131251,1480091686
10:6f:3f:37:5e:bb,-68,13131251,1470573639
00:03:52:e3:7a:ab,-60,13131251,1476988667
bc:5c:4c:6c:56:2f,-88,13131251,1476992135
00:03:52:e3:7a:ae,-75,13131251,1480092206
b6:12:42:75:b4:02,-61,13131251,1480091894
98:f1:99:87:05:af,-78,13131251,1476989812
40:01:7a:97:2e:cf,-82,13131251,1480092417
ee:1d:7f:c1:80:92,-77,13131251,1476989991
88:44:77:83:3a:2c,-56,13131251,1480091739
48:a1:95:e9:0b:ca,-65,13131251,1480091870
00:03:52:e3:7a:aa,-60,13131251,1476988683
30:f7:72:f6:3c:30,-83,13131251,1480092944
30:f7:72:f6:3c:31,-83,13131251,1480092916
88:57:ee:f2:6a:4c,-73,13131251,1480092023
30:f7:72:f6:3c:32,-84,13131251,1480092970
a4:12:42:75:b4:02,-61,13131251,1480091845
10:4b:46:73:b4:5b,-69,13131251,1480091921
bc:5c:4c:00:0c:97,-79,13131251,1480092253
00:1a:1e:8e:ef:e2,-77,13131251,1480092371
00:1a:1e:8e:ef:e1,-77,13131251,1480092394
00:1a:1e:8e:ef:e3,-77,13131251,1480092346
50:0f:80:d9:36:2f,-83,13131251,1480092539
00:03:52:e3:7a:a5,-69,13131251,1480091974
00:03:52:a9:5d:a5,-84,13131251,1476991235
30:f7:72:f6:3c:33,-85,13131251,1480093045
00:03:52:e3:7a:a1,-69,13131251,1480091998
00:03:52:e3:7a:a9,-58,13131251,1480091767
00:03:52:a9:5d:a9,-72,13131251,1470574066
00:03:52:e3:7a:a8,-58,13131251,1480091793
00:1a:1e:8e:ef:e0,-76,13131251,1480092319
28:34:a2:28:5f:ff,-73,13131251,1470573999
00:1a:1e:92:b2:e0,-71,13131251,1480092099
30:f7:72:f6:3c:3a,-77,13131251,1476990089
00:1a:1e:92:b2:e1,-70,13131251,1476988934
84:af:ec:30:3c:de,-83,13131251,1476990401
84:af:ec:30:3c:dc,-84,13131251,1480093019
a6:12:42:85:b2:00,-71,13131251,1476989296
dc:a4:ca:ef:20:6b,-82,13131251,1476990200
10:6f:3f:3b:bd:22,-78,13131251,1476990134
02:18:1a:84:ab:ee,-81,13131251,1480092885
98:f1:99:ad:1a:0e,-79,13131251,1476990031
38:90:a5:59:af:4f,-85,13131251,1480092566
16:6f:3f:3b:bd:22,-78,13131251,1476990112
00:03:52:a9:5d:a1,-85,13131251,1476991254
88:57:ee:b3:6b:bd,-70,13131251,1480091947
00:24:a5:c1:60:71,-83,13131251,1480093095
dc:a4:ca:ef:20:6a,-75,13131251,1476989548
a4:12:42:85:b2:00,-71,13131251,1476989316
b0:55:08:4d:91:70,-71,13131251,1476989275
