BBSID, Signal, Time, Timestamp
34:fc:b9:3c:f0:51,-92,13132510,2218426150
00:03:52:a9:5d:a0,-89,13132510,2218425949
00:03:52:a9:5d:a4,-89,13132510,2218425926
bc:5c:4c:6c:56:2f,-89,13132510,2218425711
74:03:bd:63:bd:00,-89,13132510,2218425761
00:03:52:e3:7a:a2,-87,13132510,2218425841
00:03:52:e3:7a:a0,-89,13132510,2218426021
delimiter,delimiter,delimiter,delimiter
00:1a:1e:8e:ef:e2,-87,13132511,2218425621
00:1a:1e:8e:ef:e1,-86,13132511,2218425540
00:1a:1e:8e:ef:e3,-87,13132511,2218425596
00:1a:1e:8e:ef:e0,-87,13132511,2218425644
40:01:7a:97:2e:cf,-86,13132511,2218425475
50:0f:80:d9:36:2f,-85,13132511,2212106253
38:90:a5:59:af:4f,-83,13132511,2212106132
00:03:52:a9:5d:a5,-89,13132511,2218425972
00:03:52:a9:5d:aa,-80,13132511,2212106105
00:03:52:a9:5d:a9,-87,13132511,2218426102
a4:12:42:75:b4:03,-75,13132511,2218425161
30:f7:72:f6:3c:33,-87,13132511,2218425570
30:f7:72:f6:3c:30,-86,13132511,2218425500
48:a1:95:e9:0b:cb,-84,13132511,2218425308
00:03:52:e3:7a:a5,-89,13132511,2218425998
00:03:52:e3:7a:a1,-87,13132511,2218425873
a4:12:42:75:b4:02,-79,13132511,2212106064
cc:e1:d5:8f:6e:76,-73,13132511,2218425134
88:57:ee:f2:6a:4c,-87,13132511,2218425666
00:1a:1e:83:c1:61,-48,13132511,2218424973
88:57:ee:f2:6a:48,-81,13132511,2218425379
10:4b:46:73:b4:5b,-86,13132511,2212106767
b6:12:42:75:b4:02,-82,13132511,2218425427
00:03:52:e3:7a:ae,-84,13132511,2218425450
00:1a:1e:83:c1:60,-44,13132511,2218424876
00:1a:1e:83:c1:63,-47,13132511,2218424926
cc:e1:d5:8f:6e:71,-70,13132511,2218425043
bc:5c:4c:00:0c:97,-82,13132511,2212106121
00:1a:1e:83:c1:62,-47,13132511,2218424951
10:6f:3f:37:5e:bb,-78,13132511,2218425233
00:20:a6:cf:6f:b9,-75,13132511,2218425184
00:03:52:a9:5d:a8,-89,13132511,2218426126
00:03:52:e3:7a:a8,-83,13132511,2212106724
02:18:1a:84:ab:ee,-84,13132511,2218425283
00:03:52:e3:7a:a9,-81,13132511,2212106400
98:f1:99:87:05:ae,-85,13132511,2218425403
00:03:52:e3:7a:a3,-88,13132511,2218425896
00:03:52:e3:7a:a4,-87,13132511,2218425788
00:24:a5:c1:60:71,-69,13132511,2218425020
34:fc:b9:3c:f0:31,-80,13132511,2212105908
10:4b:46:73:b4:97,-85,13132511,2212106244
34:fc:b9:3c:f0:30,-81,13132511,2212106113
6e:19:8f:e6:37:bf,-87,13132511,2212106783
6e:19:8f:e6:38:3a,-90,13132511,2218425736
b0:55:08:4d:91:70,-82,13132511,2218425331
6c:19:8f:e6:37:bf,-85,13132511,2212106209
00:35:1a:dc:79:ad,-84,13132511,2212106183
6c:19:8f:e6:38:3a,-91,13132511,2218426175
30:74:96:70:6c:f1,-85,13132511,2218425357
7e:19:8f:e6:37:bf,-88,13132511,2212106806
7e:19:8f:e6:38:3a,-88,13132511,2212106888
34:76:c5:84:48:37,-86,13132511,2212106870
0e:19:8f:e6:38:38,-79,13132511,2212106003
20:4c:9e:eb:24:7e,-77,13132511,2212105919
00:03:52:a9:5d:ac,-87,13132511,2218426078
1e:19:8f:e6:37:bd,-79,13132511,2212105994
20:4c:9e:eb:24:72,-72,13132511,2212105858
20:4c:9e:eb:24:7f,-78,13132511,2212105928
20:4c:9e:eb:24:7d,-80,13132511,2212105956
0e:19:8f:e6:37:bd,-77,13132511,2212105974
88:57:ee:f8:c4:c0,-67,13132511,2218425065
34:fc:b9:3d:13:71,-86,13132511,2212106750
34:fc:b9:3d:13:70,-85,13132511,2212106218
58:ac:78:55:f3:de,-88,13132511,2212106790
58:ac:78:55:f3:dd,-88,13132511,2212106798
20:4c:9e:eb:29:6e,-90,13132511,2212106946
20:4c:9e:eb:29:6f,-90,13132511,2212106936
58:ac:78:55:f3:df,-90,13132511,2212106860
20:4c:9e:eb:29:6d,-89,13132511,2212106911
00:78:88:5c:8e:40,-85,13132511,2212106312
88:57:ee:b3:6b:bd,-88,13132511,2218425689
20:4c:9e:eb:24:71,-74,13132511,2212105881
10:6f:3f:3b:bd:22,-81,13132511,2212106371
cc:e1:d5:6e:44:15,-87,13132511,2212106775
16:6f:3f:3b:bd:22,-80,13132511,2212106072
34:fc:b9:3c:f0:70,-86,13132511,2212106759
00:c8:8b:1b:eb:bd,-84,13132511,2212106200
00:c8:8b:13:4d:7c,-84,13132511,2212106192
00:c8:8b:1b:eb:bf,-83,13132511,2212106152
1e:19:8f:e6:38:38,-79,13132511,2212106015
00:c8:8b:1b:eb:be,-85,13132511,2212106234
28:34:a2:28:5e:e0,-67,13132511,2218425111
00:1a:1e:8e:ff:43,-80,13132511,2212106039
00:35:1a:dc:79:af,-84,13132511,2212106174
00:18:0a:84:ab:ee,-78,13132511,2212105983
00:1a:1e:8e:ef:a2,-80,13132511,2212106022
00:1a:1e:8e:ef:a1,-80,13132511,2212106031
88:57:ee:86:20:7d,-90,13132511,2212106919
6e:19:8f:e6:21:00,-91,13132511,2212107034
28:34:a2:28:5e:ef,-84,13132511,2212106381
00:1a:1e:8e:ff:42,-82,13132511,2212106344
a0:55:4f:40:a0:8f,-90,13132511,2212106927
a0:55:4f:40:a0:8e,-91,13132511,2212107044
00:80:4c:c9:0d:18,-89,13132511,2212106955
dc:fb:02:93:0c:41,-88,13132511,2212106971
00:01:8e:65:65:30,-89,13132511,2212106988
00:03:52:a9:5d:ab,-86,13132511,2218426052
00:03:52:a9:5d:ae,-78,13132511,2212106089
00:03:52:a9:5d:ad,-78,13132511,2212106097
00:1a:1e:8e:ff:40,-81,13132511,2212106330
00:35:1a:dc:79:ae,-85,13132511,2212106226
cc:e1:d5:f9:66:00,-70,13132511,2218425088
cc:e1:d5:f9:66:04,-82,13132511,2218425257
0c:8f:ff:d7:e1:47,-85,13132511,2212106352
74:67:f7:74:9a:82,-83,13132511,2212106605
c0:25:a2:53:16:ee,-86,13132511,2212106980
